Region_id,ZIP,City,Lat,Lng
205,9373,Klein St. Paul,46.83585,14.54106
205,9345,Kleinglödnitz,46.85297,14.13853
205,9376,Knappenberg,46.93494,14.56656
205,9311,Kraig,46.81206,14.36808
205,9314,Launsdorf,46.76857,14.45622
205,9556,Liebenfels,46.7382,14.28691
205,9335,Lölling,46.92093,14.59286
205,9312,Meiselding,46.83934,14.39595
205,9363,Metnitz,46.9813,14.21674
205,9322,Micheldorf,46.91444,14.42731
205,9313,St. Georgen am Längsee,46.78075,14.43161
205,9361,St. Salvator,46.9691,14.35318
205,9300,St. Veit an der Glan,46.76644,14.35919
205,9341,Straßburg,46.89468,14.32895
205,9330,Treibach-Althofen,46.86639,14.45845
205,9344,Weitensfeld,46.72481,14.26362
205,9374,Wieting,46.86971,14.54082
205,9343,Zweinitz,46.86626,14.23013
206,9546,Bad Kleinkirchheim,46.81319,13.79274
206,9805,Baldramsdorf,46.80279,13.44928
206,9771,Berg im Drautal,46.74802,13.13541
206,9772,Dellach,46.66169,13.07955
206,9873,Döbriach,46.77968,13.65518
206,9861,Eisentratten,46.92246,13.57739
206,9831,Flattach,46.93435,13.13029
206,9853,Gmünd,46.9067,13.3654
206,9761,Greifenburg,46.75058,13.18025
206,9843,Großkirchheim,46.99383,12.8822
206,9844,Heiligenblut,47.03987,12.84323
206,9773,Irschen,46.75581,13.02362
206,9815,Kolbnitz,46.87704,13.30571
206,9862,Kremsbrücke,46.96149,13.61809
206,9811,Lendorf,46.83095,13.42269
206,9851,Lieserbrücke,46.82964,13.49216
206,9753,Lind im Drautal,46.76853,13.35605
206,9822,Mallnitz,46.98889,13.16958
206,9854,Malta,46.95463,13.50649
206,9872,Millstatt,46.80449,13.57282
206,9813,Möllbrücke,46.83661,13.36925
206,9842,Mörtschach,46.92185,12.9133
206,9814,Mühldorf,46.85822,13.3445
206,9781,Oberdrauburg,46.74854,12.97105
206,9821,Obervellach,46.93226,13.20207
206,9816,Penk,46.90109,13.26189
206,9812,Pusarnitz,46.84135,13.40053
206,9545,Radenthein,46.80053,13.70322
